song_id,genre,year,key,key_confidence,mode,mode_confidence,time_signature,time_signature_confidence,duration,end_of_fade_in,loudness,song_hotttnesss,tempo
TRAROPS128F92F09A5,Country,1959,2,0.182,1,0.567,3,0.905,140.38159,0.0,-13.338,,117.867
TRARODD128F4225D3F,Latin,1999,10,0.045,0,0.493,4,0.385,230.00771,0.247,-6.564,0.37598430150044215,108.292
TRARMYQ128F149F18A,Country,0,7,0.477,0,0.579,4,0.038,232.64608,0.258,-6.349,,142.409
TRARMYZ128F426150A,Pop,2000,7,0.714,1,0.675,4,0.872,380.08118,0.0,-7.804,,131.999
TRARMRC128F424317A,Electronic,2006,10,0.142,0,0.454,3,1.0,78.21016,0.0,-3.716,0.4697124313189556,124.429
TRARMHA128F92E7D32,Punk,1982,11,0.727,1,0.3,4,0.0,89.23383,0.188,-8.867,,203.29
TRARJEM128F92E444D,New Age,2009,11,0.053,0,0.39,4,0.505,272.97914,0.253,-12.958,0.3277366831778408,108.014
TRARJPL128F931C7D2,Rock,2009,4,0.222,0,0.422,4,0.69,240.79628,0.103,-5.353,0.6366359710042119,136.147
TRARJEK128F930B3AA,Blues,1985,1,0.542,1,0.5,4,0.967,281.05098,0.067,-9.882,,121.616
TRARCZH12903CF7D2F,Rock,1974,7,0.598,1,0.624,4,0.895,229.58975,0.0,-8.064,0.641020289645939,102.984
TRARDOK128F9300AB5,Rock,2008,5,0.472,1,0.551,4,0.859,349.80526,0.0,-9.454,0.8056913867449513,143.59
TRARDJY128F14750EA,Rock,2002,3,0.544,1,0.741,5,0.994,472.39791,0.27,-6.736,0.816897459555498,121.518
TRARDRX128F9325812,Electronic,2004,11,0.013,0,0.339,4,0.614,265.32526,0.42,-6.145,0.5409358772543155,132.974
TRARDUI12903CBF6B6,Rap,2005,7,0.538,1,0.485,7,0.29,231.18322,0.38,-4.547,,151.488
TRARVVB128F4264CEB,Blues,0,2,1.0,1,0.928,1,0.0,231.10485,0.162,-14.039,0.5033812362063191,112.717
TRARVEY128F9300AC3,Rock,2005,2,0.0,1,0.274,5,0.366,313.7824,0.0,-9.425,,137.913
TRARVZG128F1497359,Rap,2006,1,0.178,1,0.256,4,0.81,274.85995,0.14,-6.696,0.706000516796879,177.942
TRARQSD128F427E2AA,Rock,1998,0,0.77,1,0.764,4,0.973,235.25832,0.0,-9.407,,117.946
TRARXIQ128F9354D9C,Rap,2006,1,1.0,1,0.788,4,1.0,218.06975,0.299,-6.25,0.6090439426773437,177.886
TRAREDZ12903CFB6E3,Pop,2007,9,0.237,1,0.417,4,0.546,247.24853,0.0,-5.603,0.5163964070726773,169.994
TRARBGM12903CC5026,Rock,1999,9,0.284,0,0.347,4,0.783,486.97424,2.339,-7.655,0.5114243256864599,86.308
TRARBBK128F427ED68,World,0,7,0.703,1,0.743,7,1.0,293.27628,0.281,-8.756,,89.92
TRARBJW128E0788A1A,Rock,1999,10,0.474,0,0.427,4,0.757,230.05995,1.071,-4.134,0.6455789159669304,150.226
TRARKGW128F92EB8F9,Rock,1989,11,0.159,0,0.473,4,0.557,288.02567,0.0,-5.729,0.6962171403694453,146.29
TRARKEH128F1463CB2,Rock,1975,5,0.456,1,0.531,3,0.615,316.81261,0.0,-12.936,0.5701059300583878,90.689
TRARKXM128F14911B0,Rap,1998,1,0.486,1,0.284,3,0.683,209.6322,0.0,-8.745,0.5470039143026859,113.312
TRARKDV128F42500F2,World,2001,7,0.895,1,0.902,4,0.808,390.63465,0.194,-5.252,0.3943948561005826,137.349
TRARKRC128E0791D82,Rock,0,8,0.701,1,0.362,4,0.595,355.5522,3.785,-7.894,0.6767695092287059,146.022
TRARYCL128F1456224,Rock,1968,9,0.321,0,0.413,4,0.132,291.29098,0.0,-12.065,,115.514
TRARYHD128F9344512,Electronic,0,5,0.364,0,0.397,4,0.0,265.53424,0.0,-7.811,,127.984
TRARPCK128F92FEA7F,Rock,2006,4,0.394,0,0.409,4,0.468,384.67873,0.0,-14.199,0.8825301516325301,169.038
TRARPXT128F425FDF9,Rock,0,7,0.237,1,0.333,4,0.778,168.51546,3.396,-14.338,,130.339
TRARPTJ12903CE2898,Reggae,0,7,0.218,1,0.395,5,0.086,221.09995,0.066,-5.781,,102.581
TRARPWX128F92CD69C,Country,2004,1,0.535,1,0.609,1,0.655,287.50322,0.125,-12.517,,139.99
TRARWMG128F933667C,Jazz,1983,0,0.368,1,0.653,4,0.207,257.30567,0.299,-16.945,0.3603705827121406,110.096
TRARWXF128F9353B37,Blues,1993,1,0.162,1,0.213,1,0.0,181.39383,0.061,-10.173,,161.7
TRARWXU128F92EC637,Rap,0,1,0.585,0,0.566,3,0.998,304.16934,0.0,-6.997,,183.881
TRAUREN128F931F5AB,Country,1986,9,0.542,1,0.369,1,0.814,159.79057,0.363,-23.907,,141.772
TRAURQM128F423C581,RnB,0,4,0.605,1,0.518,5,0.0,117.78567,0.797,-15.808,0.5616275900797084,119.772
TRAURRP128F4261B94,Country,1998,2,0.588,1,0.617,4,0.896,296.30649,0.287,-6.98,0.7239043346137317,103.863
TRAUUIF128F93232FE,Electronic,1995,2,0.411,1,0.406,4,0.952,215.40526,0.0,-5.66,0.56142851762879,169.966
TRAUURC128E078EC6E,Rap,2000,11,0.313,0,0.315,4,1.0,312.2673,0.0,-3.989,0.8117075314137592,180.168
TRAUUZF128EF347CD5,Rock,1988,5,0.312,1,0.152,4,0.0,262.97424,0.165,-8.737,0.4634896622372766,80.031
TRAUIOQ128F92EDC51,Punk,1982,1,0.322,0,0.383,4,0.304,122.64444,8.231,-10.18,0.6655446019629685,173.669
TRAUNEL128F1467D5C,Rock,1978,4,0.352,0,0.421,4,0.452,159.89506,0.102,-11.704,0.614576981682048,88.841
TRAUGLQ128F1495E6D,Jazz,0,7,0.51,1,0.498,4,0.0,161.59302,0.0,-19.397,0.0,179.609
TRAUGNY12903CFEFB5,Electronic,2004,4,0.706,0,0.68,4,1.0,160.31302,0.0,-11.242,0.49545313652464545,120.091
TRAUGRD128F425E997,Pop,2007,4,0.593,0,0.581,4,0.447,205.45261,2.577,-6.692,0.4787262884803349,143.864
TRAUGWE128F42670DB,Jazz,1998,7,0.386,1,0.38,4,0.352,312.76363,0.55,-13.455,0.3725300393660796,123.352
TRAUGHD128F42A8B9B,Electronic,2003,11,0.545,1,0.508,5,0.78,405.41995,6.153,-7.495,0.0,92.699
TRAUZFY128F42BCE57,Country,2007,2,0.465,1,0.479,4,0.618,229.8771,0.136,-3.662,0.4909042005420652,87.712
TRAUTXO128F4263C8E,Country,1965,8,0.965,1,0.824,3,1.0,161.48853,0.363,-13.797,0.2707759989463275,79.181
TRAUTNT128F933CB62,Electronic,2007,4,0.0,1,0.0,4,0.931,164.0224,0.197,-12.836,0.38293509007501925,80.012
TRAUSQP128F4230490,Latin,2000,8,0.519,1,0.553,7,0.561,242.75546,0.223,-8.588,,84.751
TRAUSMF12903CE71E5,Blues,1927,10,0.355,0,0.263,4,0.321,185.41669,0.0,-19.308,,162.496
TRAUSHD128E0795347,Rock,2005,7,0.549,1,0.628,4,0.619,253.83138,0.212,-6.083,0.6270737964039372,93.044
TRAUACD12903CEF021,RnB,0,11,0.863,0,0.685,4,0.292,243.01669,0.0,-8.578,0.26586104921065007,88.008
TRAUFLM128F42AECDC,Pop,2005,3,0.0,1,0.0,1,0.0,1.04444,0.0,-23.555,,0.0
TRAUOUZ128E078F8BB,Rap,1988,8,0.33,0,0.495,4,1.0,208.32608,0.0,-8.078,,115.692
TRAUOPC128F92F5EDE,Rock,0,11,0.512,0,0.684,1,0.0,225.20118,0.0,-7.284,0.3347065490692206,138.966
TRAUONA128F4255A38,Rock,2005,10,0.042,1,0.367,5,0.045,160.96608,0.0,-8.317,0.8144317117082399,84.141
TRAUOPR128F933634F,Reggae,1979,1,0.929,0,0.861,4,0.418,266.81424,0.0,-8.333,,121.713
TRAUOBO128F4280122,Blues,0,11,0.851,1,0.663,1,0.0,189.98812,0.337,-23.005,0.0,86.761
TRAUOXB128F146573B,Rock,2002,7,0.0,0,0.0,3,1.0,35.65669,0.189,-18.161,0.4348380902608562,82.568
TRAUODU128F9307467,Rock,1993,11,0.217,0,0.463,1,0.353,289.09669,2.659,-4.62,,125.159
TRAUHJH128F92CA20E,Blues,0,1,0.619,1,0.624,3,0.713,171.65016,0.0,-20.075,,84.737
TRAUHXR12903CBDFE4,Rock,2006,0,0.238,1,0.4,4,0.716,399.82975,2.937,-7.715,0.5691786864450364,140.077
TRAUMHL128F930CFCB,Folk,1973,7,0.113,1,0.462,4,0.0,156.18567,0.137,-14.873,0.4782769949300473,202.789
TRAUMNH128F92FB67F,Blues,1992,2,0.975,1,0.826,4,0.0,283.03628,0.382,-7.535,0.7306740675391308,94.543
TRAUMPU12903CBD2E2,Reggae,2005,0,0.0,1,0.167,4,0.326,264.14975,0.084,-11.398,0.0,95.37
TRAUMIT128F424DA18,Rock,2002,10,0.018,0,0.345,4,0.877,137.37751,0.162,-5.477,0.8172275597425861,127.407
TRAUJTZ12903CF7BB4,Rock,1984,0,0.641,1,0.826,4,0.0,191.99955,0.898,-11.516,0.751580890905498,183.709
TRAUJMN128F421A8EC,Blues,2005,0,0.816,1,0.781,4,1.0,335.69914,0.0,-4.559,0.3347065490692206,100.173
TRAUJEB128F4240FD4,Jazz,2003,10,0.576,1,0.5,1,0.0,200.12363,0.376,-18.896,,118.596
TRAUJKJ128E078FA48,Rock,2000,8,0.244,0,0.418,4,1.0,228.70159,0.078,-10.736,0.8242065020160781,128.684
TRAUCPI128F4224350,Blues,1935,11,0.258,1,0.398,1,0.0,163.91791,0.16,-15.832,,96.982
TRAUCZX128F149D9AE,Country,1996,2,0.454,1,0.55,4,0.32,209.08363,0.383,-7.56,,116.625
TRAUDFG128F423AC77,Electronic,1995,10,0.712,0,0.681,5,1.0,62.92853,0.27,-23.563,0.49975232798855324,160.546
TRAUDYH128F9301EF1,Rock,0,1,0.0,0,0.091,4,0.57,245.34159,0.0,-6.521,0.40003965695463956,117.339
TRAUDRC128F148D15E,Rock,1988,0,0.331,1,0.557,4,0.429,322.97751,0.525,-13.865,0.5637552083912959,139.015
TRAUVUF128F148D1AA,Punk,1997,10,0.363,0,0.411,4,0.0,181.21098,1.164,-5.128,0.7748541268253589,111.153
TRAUVSF128F14A0B6F,Electronic,2004,0,0.28,1,0.328,4,0.0,349.04771,0.0,-6.615,0.7397372826435874,136.967
TRAUVVR128F425A925,Pop,1986,1,0.46,1,0.467,4,0.801,236.61669,2.792,-4.21,0.48512236410182064,111.122
TRAUXEL128F42683D5,Metal,2002,4,0.794,0,0.576,4,0.0,217.93914,0.107,-4.384,0.600274215984207,92.608
TRAUXNO128F42774A0,Rock,1992,5,0.133,0,0.201,4,0.96,262.47791,0.0,-5.499,,111.239
TRAUXSO128F42B863C,Rock,0,1,1.0,1,0.604,5,0.25,207.56853,0.062,-6.336,0.41967427880955327,138.385
TRAUEVU128F42B7B0A,Rap,1997,1,0.0,1,0.245,4,0.855,161.35791,0.293,-8.667,0.4923983528177209,86.819
TRAUEYX12903CEAF48,Rock,2005,9,0.263,1,0.355,4,0.166,249.28608,0.0,-10.414,0.7602993828677649,139.999
TRAUBKK128F4254C97,Reggae,2002,0,0.873,0,0.603,1,0.938,225.77587,0.16,-6.937,0.5654510121736983,83.831
TRAUBRC128F92EF13F,Blues,1999,6,0.0,0,0.312,1,0.226,212.63628,0.147,-12.617,0.3347065490692206,87.669
TRAUBNN128F4298B31,Reggae,1997,1,0.514,0,0.562,4,1.0,239.0722,0.194,-7.38,,134.941
TRAUKYS128F14636CB,Pop,1994,10,1.0,1,0.812,4,0.564,246.38649,0.531,-6.574,,84.084
TRAULTS128F931290B,Metal,1997,5,0.924,1,0.656,3,0.865,382.58893,0.136,-4.657,,78.959
TRAULZV12903CF968F,Rock,0,7,0.003,1,0.289,4,0.0,231.1571,0.328,-6.604,0.0,161.063
TRAULGT12903D10B94,Blues,1995,11,0.246,1,0.622,4,0.654,186.40934,1.309,-12.967,0.3943948561005826,52.932
TRAULZG128F425E06C,Punk,1981,2,0.629,0,0.536,1,0.0,92.36853,0.196,-12.206,0.6786337886315265,114.378
TRAULOO12903CF47B6,Metal,1995,2,0.299,0,0.422,4,0.544,318.9024,0.0,-5.255,,117.593
TRAUYZG12903CDA4E9,Rock,1995,8,0.495,1,0.612,3,0.727,432.97914,2.09,-7.984,,91.775
TRAUYLT128F427538E,Electronic,2006,11,0.362,0,0.434,4,0.869,233.22077,0.136,-4.741,0.5333708783158672,154.998
TRAUYOD128F42647FE,Blues,1990,9,0.087,1,0.578,4,0.203,262.29506,0.079,-9.759,0.7560680108104574,142.372
TRAUPSV128F427B621,Latin,2008,0,0.399,1,0.419,1,0.0,207.82975,0.136,-6.399,0.623037475551179,216.023
TRAUWQL128F424696E,Rock,2006,8,0.616,1,0.593,4,0.167,357.45914,0.328,-5.492,0.5810119424656008,200.036
TRAUWRW128F9358C69,Rap,2003,5,0.037,1,0.308,4,1.0,259.05587,0.165,-4.73,,104.123
TRAUWWP12903CC79CB,Metal,2008,8,0.043,0,0.256,1,0.0,270.21016,0.102,-5.958,0.5701150855791898,229.864
TRAIRNE128F146B1FA,Jazz,2006,8,0.594,0,0.342,4,1.0,215.14404,0.0,-7.114,0.621195684059579,102.04
TRAIRHS128F4287576,Blues,1993,2,0.008,1,0.358,4,0.205,197.0673,0.0,-15.163,,130.889
TRAIUTE128F92F96F3,Electronic,2008,1,0.582,0,0.384,4,0.455,261.58975,2.026,-3.542,0.7314733570496581,175.948
TRAIUYZ128F425BD2F,Electronic,2004,1,0.704,0,0.858,4,0.453,249.05098,2.264,-15.775,0.7740042743064652,95.576
TRAIIUE128E07826EC,Electronic,1993,0,0.031,1,0.416,5,0.399,270.94159,0.276,-20.607,,146.389
TRAINIF128F426416B,Pop,2000,10,0.495,0,0.5,4,0.611,236.2771,2.014,-2.801,,103.997
TRAIGCZ128F428C2D9,Country,0,0,0.698,1,0.631,1,0.0,163.52608,1.061,-11.943,0.5580947631395166,100.893
TRAIZQI128F42A51F9,Reggae,2004,4,0.313,0,0.393,4,0.068,242.15465,0.0,-8.702,,72.884
TRAIZLC12903CE6A57,Blues,1998,9,0.045,1,0.388,4,0.413,243.30404,0.497,-5.981,0.2538347361322313,125.05
TRAIZHG128F934FE42,Rap,0,1,0.0,1,0.0,1,0.434,246.67383,0.0,-12.69,0.0,107.927
TRAIZWI128F4247EFD,Country,2008,3,0.562,1,0.64,4,0.439,260.51873,0.218,-6.857,0.52549711888017,45.508
TRAITXM128F428E1F0,Folk,1958,2,0.184,1,0.516,4,0.375,295.60118,2.392,-16.678,,99.959
TRAISYU128F427F486,RnB,2005,4,0.0,0,0.17,4,1.0,273.00526,0.684,-6.728,0.5227332607801571,117.844
TRAISFF128F92F598E,New Age,0,9,0.556,0,0.62,4,0.565,319.08526,6.687,-16.062,0.5527051139046104,160.048
TRAISAT128F42BADC2,Rock,2006,0,0.683,1,0.693,4,1.0,300.82567,0.0,-5.943,0.5937951136677091,197.443
TRAISYO128E07888A6,RnB,2005,3,0.034,1,0.312,4,0.554,241.65832,0.148,-9.635,,131.761
TRAIAMS128EF34DC1B,Rock,1982,6,0.44,0,0.502,4,0.332,275.9571,0.0,-8.112,0.3347065490692206,170.773
TRAIAUB12903CDFB3D,Reggae,1999,11,0.769,1,0.613,1,0.084,224.96608,0.345,-9.715,,101.121
TRAIATD128F9331CD6,RnB,1994,1,0.066,0,0.177,4,1.0,283.89832,0.142,-7.275,0.4191258929591558,90.199
TRAIACZ128F428C60A,Rap,2005,6,0.0,1,0.0,4,1.0,204.5122,0.0,-11.38,,95.098
TRAIADF12903D0023E,Reggae,1982,6,0.195,0,0.28,4,0.674,193.12281,0.14,-8.173,,132.088
TRAIOWX128F14750E5,Rock,2002,8,0.616,1,0.52,4,0.04,245.02812,0.224,-4.675,0.7936136676102776,190.102
TRAIHPX128F428081B,Rock,2001,9,0.684,1,0.611,4,0.492,353.77587,0.0,-8.744,0.7096992899333202,107.922
TRAIHFF128EF351817,Pop,1975,1,0.544,1,0.564,4,0.087,192.57424,0.45,-7.98,,110.28
TRAIMFD128F92ED3CD,Rock,1992,0,0.646,1,0.577,4,0.363,348.89098,0.0,-7.349,,97.672
TRAIJMO128F424C8AF,Blues,0,11,0.644,1,0.385,1,0.0,183.53587,0.177,-14.853,,103.054
TRAIJGU128F931FA16,RnB,0,4,0.689,0,0.525,4,0.0,177.26649,0.322,-6.953,0.5763999812554107,122.152
TRAIJLI128F92FC94A,Blues,1988,8,0.649,1,0.583,4,0.454,166.73914,0.061,-14.373,,122.546
TRAIJVF128F9309AF9,Jazz,0,10,0.184,1,0.325,5,0.859,347.79383,0.226,-17.462,0.6101227561229483,63.134
TRAIJQV128F421B159,Blues,2004,9,0.138,0,0.276,4,0.995,217.88689,0.0,-6.623,0.0,107.083
TRAIJMG12903D08168,Rock,1992,2,0.177,0,0.331,3,0.238,163.13424,0.212,-9.429,0.6014631395073651,85.82
TRAICBC128F932D9F6,Rock,1998,3,0.461,0,0.416,3,0.3,112.19546,0.949,-10.672,0.34092275586437804,86.96
TRAIDGE128F4260E9F,Rock,1972,2,0.815,1,0.57,5,0.545,340.34893,2.305,-13.637,0.34759285077532753,98.087
TRAIDUU128F145B15D,Rock,1979,4,0.924,1,0.752,1,0.0,217.46893,0.345,-11.314,0.6377832856518485,168.165
TRAIVNL128F422CFE2,Punk,1978,9,0.9,1,0.481,4,0.235,144.77016,0.0,-11.058,,181.421
TRAIVMM128F4266056,Blues,1994,7,0.677,1,0.65,4,0.93,176.5873,1.468,-15.608,0.6624931608196217,79.151
TRAIVLC12903CF3A0C,Reggae,1978,6,0.727,1,0.579,4,0.195,231.49669,0.171,-6.092,,153.052
TRAIVZI128F42642DE,Pop,2000,11,0.505,0,0.518,3,1.0,173.5571,2.798,-5.47,,86.693
TRAIVMM12903CFAD62,Reggae,1991,2,0.519,1,0.575,4,1.0,173.24363,0.287,-7.236,,127.765
TRAIVRW128F930F6DD,Rock,1989,10,0.615,1,0.626,3,0.899,314.72281,0.0,-9.785,,147.736
TRAIQUG128F92F946E,Metal,2008,0,0.586,1,0.461,4,0.239,300.01587,5.445,-5.663,0.5187598979970994,198.016
TRAIQGR128F4287DF7,Rap,0,1,0.959,0,0.735,5,1.0,256.39138,0.0,-6.888,,106.756
TRAIQUW128F4221467,Rock,2004,6,0.011,0,0.327,4,1.0,255.42485,0.618,-5.544,0.5419660193708116,122.624
TRAIQNE128F423851B,RnB,2006,0,0.443,1,0.435,4,1.0,534.62159,8.649,-9.158,,122.91
TRAIXFB128F423C5A8,Rock,1980,10,0.063,1,0.453,4,0.791,128.67873,0.0,-9.663,,135.066
TRAIXEO128F424AD97,Electronic,0,7,0.774,0,0.518,4,0.0,355.39546,10.966,-9.3,0.21204540548371908,133.015
TRAIXJZ12903CEDB1D,Rock,0,9,0.635,1,0.488,4,0.0,146.15465,0.0,-5.22,,112.09
TRAIXQL128F1467D66,Rock,1979,9,0.805,1,0.524,4,0.813,141.08689,0.16,-11.714,0.5096409655518045,155.26
TRAIELD128F92DC682,Rock,2003,7,0.664,1,0.696,1,0.0,168.82893,0.173,-6.538,0.9102250754999608,125.875
TRAIBXQ128F425E6A5,Rock,2007,11,0.682,0,0.449,4,0.589,225.27955,3.077,-6.205,0.5656665821993944,127.006
TRAIBXJ128F4260700,Rap,1991,2,0.161,1,0.384,4,1.0,251.14077,0.0,-10.086,0.7040988390054747,102.829
TRAIBMN128E0780C96,Rock,2003,6,0.725,1,0.658,4,0.567,260.75383,0.403,-10.942,0.6973488123429205,78.245
TRAIKSH128E07816DF,Rock,1996,7,0.768,1,0.631,4,0.559,315.08853,0.444,-9.29,0.476435219642529,153.768
TRAIKBB128F428AD73,Country,2001,4,0.036,0,0.366,4,0.0,125.67465,0.334,-9.089,0.42744657148843085,124.916
TRAIYWQ128F426BC5C,Jazz,2001,1,0.267,0,0.348,7,0.0,86.56934,0.0,-23.476,0.6748338760608498,90.336
TRAIYZW128F9330F7D,Rap,2008,1,0.58,1,0.567,3,0.432,189.962,0.197,-9.644,0.8145172411734816,125.593
TRAIPAC128F9320FAA,Rock,2008,0,0.268,0,0.374,4,0.0,247.71873,0.0,-6.533,0.26586104921065007,155.173
TRAIPST128F9302AE9,Rap,2009,5,1.0,0,0.89,4,0.722,397.60934,0.473,-7.038,,131.955
TRAIPQD128F4258D24,Punk,0,9,0.711,0,0.506,4,0.0,233.22077,0.16,-6.898,0.26586104921065007,141.846
TRAIWNA128F145E2CD,Rock,1978,11,0.417,0,0.577,4,1.0,247.95383,0.218,-17.664,0.4454545254934259,119.389
TRAIWSR128F42222BC,Jazz,2007,9,0.573,0,0.382,4,0.942,224.86159,0.0,-6.769,0.5114243256864599,106.01
TRAIWXX128F1461FE9,Electronic,2001,7,0.779,0,0.647,4,0.0,204.25098,2.009,-6.62,0.5135170285371385,141.008
TRANRIK128F148C860,Rap,1999,3,0.01,1,0.201,3,0.889,13.58322,0.218,-24.997,,120.765
TRANRYI128F424D3FB,Blues,0,10,0.032,1,0.367,4,0.0,175.5424,1.014,-14.438,,105.715
TRANRKN128F93127BB,Rock,2007,11,0.018,0,0.3,4,0.434,236.35546,0.078,-5.628,0.5503263361932494,102.99
TRANRWM128F42873F9,Rock,2006,2,0.762,1,0.643,4,0.61,238.05342,0.131,-3.492,0.7419137317645699,91.873
TRANRDW128E0793D49,Rock,1975,11,0.547,0,0.617,4,0.061,663.24853,0.0,-10.178,0.40148671142756037,162.384
TRANRTT128F9347342,Punk,2000,7,0.623,1,0.661,3,0.675,200.04526,0.33,-6.357,0.5306630301441494,171.833
TRANRFB128F1481F1E,Rock,1980,2,0.538,0,0.56,4,0.417,299.78077,0.316,-11.514,0.7514366173047674,141.674
TRANREH128F93462CF,Rap,1999,1,0.707,0,0.622,5,1.0,207.98649,0.0,-7.804,0.7626468153002856,103.596
TRANRGP128F1465737,Rock,2002,7,0.0,1,0.057,5,0.0,188.18567,0.163,-10.096,0.2622647418996766,105.361
TRANULO128F422E6FE,Metal,2003,9,0.22,0,0.179,4,0.0,272.69179,0.461,-5.028,0.450992311636255,121.949
TRANUME128E0789D4C,Rock,2005,9,0.086,1,0.496,4,0.0,165.61587,0.2,-5.094,0.46899778764525596,134.289
TRANIJQ128F4298A10,Rock,0,2,0.021,1,0.206,1,0.94,240.45669,0.0,-8.471,0.6320809374994478,91.413
TRANIUD12903CCE692,Reggae,2007,8,0.156,1,0.378,4,0.186,210.85995,0.0,-3.362,,168.979
TRANNES128F4277849,Latin,1999,7,0.406,1,0.363,4,0.578,268.042,0.0,-5.801,0.39200877147130697,202.153
TRANGYF128E0786C33,Pop,1994,7,0.057,1,0.237,4,1.0,248.55465,2.485,-13.603,,111.958
TRANGIY128F427FA51,Rock,2007,11,0.411,0,0.506,4,0.65,171.93751,0.0,-3.324,0.5159636307203983,119.406
TRANZRO128F4278401,Country,0,7,0.578,0,0.585,4,0.428,175.72526,0.16,-6.612,0.5151324686206702,117.532
TRANZKG128F429068A,Blues,1968,1,0.782,1,0.624,3,0.556,244.27057,2.746,-15.879,,152.2
TRANZHO128F4289A58,Rap,0,6,0.179,0,0.282,7,0.181,184.92036,0.0,-6.012,0.7039660846759993,171.968
TRANZDB12903CC55EF,RnB,0,10,0.0,1,0.097,1,0.234,200.54159,0.381,-7.258,0.0,157.118
TRANZIL128F42A2670,Country,1977,7,0.686,1,0.675,1,0.0,294.24281,0.0,-8.782,,137.865
TRANZIC128F931CE6D,Electronic,2009,10,0.484,0,0.591,5,0.86,194.97751,0.0,-4.434,0.5763999812554107,85.348
TRANZOR128F9307EFD,Blues,1990,10,0.524,1,0.472,3,0.634,263.73179,0.115,-12.346,0.6420910376375009,114.255
TRANTFR128F931C7DA,Rock,2009,11,0.505,0,0.476,4,0.675,210.59873,0.0,-4.289,0.6279299995336325,84.99
TRANTAD128F92FD042,Rock,0,7,0.508,1,0.544,4,0.017,263.36608,0.0,-6.578,0.7134923705302804,193.14
TRANASA12903D11452,Folk,0,0,0.88,1,0.792,3,0.659,363.31057,0.803,-10.413,0.3231121208952123,166.431
TRANAUJ128E07860B0,Rap,1999,2,0.207,1,0.186,4,1.0,233.40363,0.0,-4.422,0.5159636307203983,119.579
